REF_AREA,Reference area,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,60.71544715
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,59.11042945
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,57.6945245
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,57.49156627
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,57.23873874
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,56.14876033
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,57.54635108
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,58.98686679
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,58.63063063
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,45.15708812
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,51.26961484
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,52.15083799
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,50.90839923
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,49.96250317
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,49.50898204
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,50.04379122
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,49.81812607
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,50.25806452
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,49.47906027
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,46.35406699
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,45.47335702
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,45.01034483
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,44.60869565
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,45.12272367
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,58.97808219
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,57.15089514
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,58.14345992
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,57.52
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,58.30949285
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,58.425
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,57.46144721
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,53.82222222
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,54.4712766
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,52.212
